HOUSEID,WTHHFIN,NUMADLT,HOMEOWN,HOMETYPE,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CNTTDHH,CDIVMSAR,HHFAMINC_IMP,HHSIZE,HHVEHCNT,HHRELATD,LIF_CYC,MSASIZE,URBANSIZE,URBRUR,PPT517,YOUNGCHILD,RESP_CNT,URBRUR_2010,WRKCOUNT
0,47861.33017,2,1,2,2,2,1,1,1,0,23,5,6,1,1,4,1,6,1,3,1,5,1,1
0,27289.63431,1,1,1,2,2,1,2,1,5,24,5,2,2,1,7,6,6,2,1,0,2,2,1
0,2667.355103,2,1,1,2,2,1,2,2,8,23,7,2,3,1,2,1,6,2,0,0,2,2,2
0,37228.33304,1,3,2,2,2,1,1,1,1,23,1,6,1,1,3,1,6,1,4,1,5,1,0
0,7160.917535,1,2,3,2,3,2,2,1,4,33,5,1,1,2,9,3,2,1,0,0,1,1,1
0,24542.36202,2,3,3,1,3,2,2,2,3,31,8,2,1,1,2,4,4,1,0,0,2,1,2
0,10522.2124,2,3,2,2,3,2,2,2,15,32,7,2,2,1,2,4,5,1,0,0,2,1,2
0,13787.13158,2,1,1,2,3,2,2,2,5,33,8,2,2,1,2,3,3,1,0,0,2,1,2
0,18875.89761,2,2,1,1,3,2,2,2,6,31,6,3,2,1,8,4,4,1,1,0,3,1,2
0,9403.114489,2,2,1,2,3,2,2,2,4,33,6,2,2,1,10,1,6,2,0,0,2,2,2
0,7270.603135,2,1,1,2,3,2,2,2,4,33,8,2,2,1,2,2,2,1,0,0,2,1,2
0,5028.946091,2,1,1,2,3,2,2,2,2,32,8,2,1,1,2,4,5,1,0,0,2,1,2
0,62631.62551,1,1,1,2,3,2,2,1,0,33,1,1,1,2,9,3,3,1,0,0,1,1,0
0,7094.236361,1,3,3,2,3,2,2,1,2,33,3,1,1,2,1,3,3,1,0,0,1,1,1
0,6021.569799,1,1,1,2,3,2,2,1,2,32,5,1,1,2,1,5,5,1,0,0,1,1,1
0,9458.641248,2,1,1,2,3,2,2,2,10,33,8,4,2,1,6,3,2,1,2,0,4,1,2
0,3532.679265,1,1,1,2,3,2,2,1,0,33,3,1,1,2,9,2,2,1,0,0,1,1,0
0,24395.34188,2,1,1,2,3,2,2,2,2,33,10,2,2,1,2,1,1,1,0,0,2,1,2
0,12399.00724,1,3,3,2,3,2,2,1,0,32,5,1,1,2,9,5,5,1,0,0,1,1,0
0,7446.497405,2,1,1,2,3,2,2,2,2,32,7,2,2,1,10,4,5,1,0,0,2,1,1
0,28477.33953,3,3,1,2,3,2,2,2,1,33,5,5,2,1,3,1,1,1,1,1,4,1,1
0,11207.97156,2,3,4,2,3,2,2,2,0,33,4,2,2,1,2,3,6,2,0,0,2,2,1
0,27992.13755,2,1,1,2,3,2,2,2,4,32,9,3,2,1,6,4,5,1,1,0,3,1,2
0,24838.8989,1,4,5,2,3,2,2,1,0,33,1,1,17,2,1,1,1,1,0,0,1,1,0
0,6803.770567,2,1,1,2,3,2,2,2,2,33,8,2,3,1,2,2,6,2,0,0,2,2,2
0,4954.428059,1,1,2,2,3,2,2,1,4,32,7,1,1,2,9,4,5,1,0,0,1,1,0
0,18236.98554,2,1,1,2,3,2,2,2,0,33,7,4,2,1,6,1,6,1,2,0,3,1,2
0,4253.87865,2,1,1,2,3,2,2,2,4,33,3,2,2,1,2,1,6,2,0,0,2,1,1
0,5634.755018,3,1,1,2,3,2,2,3,6,32,11,5,3,1,6,4,5,1,2,0,5,1,3
0,9284.749179,2,2,1,2,3,2,2,2,4,33,5,2,2,1,10,2,2,1,0,0,2,1,0
0,8699.731086,1,3,3,2,3,2,2,1,0,33,3,1,1,2,1,1,6,2,0,0,1,2,0
0,5933.745169,2,1,1,2,3,2,2,2,2,32,6,2,2,1,10,4,5,1,0,0,2,1,0
0,30057.30685,2,2,1,2,3,2,2,2,8,32,9,2,4,1,10,5,5,1,0,0,2,1,1
0,17857.1592,2,1,1,2,3,2,2,2,3,32,7,2,2,1,2,5,5,1,0,0,2,1,2
0,5001.648115,3,1,1,1,3,2,2,2,2,31,5,3,2,1,10,4,4,1,0,0,3,1,1
0,3008.30357,2,2,2,2,3,2,2,2,2,32,7,2,1,1,10,4,5,1,0,0,2,1,0
0,3948.974899,2,1,1,1,3,2,2,2,4,31,8,2,2,1,2,4,4,1,0,0,2,1,1
0,4090.023757,3,1,1,2,3,2,2,3,10,33,9,3,3,1,8,3,3,1,0,0,3,1,3
0,6160.292429,2,1,1,2,3,2,2,1,6,32,7,2,2,1,10,4,1,1,0,0,2,1,0
0,9073.537195,1,2,1,2,3,2,2,1,0,33,5,1,1,2,1,3,3,1,0,0,1,1,0
0,14321.11838,1,1,1,2,3,2,2,1,2,33,6,1,3,2,1,3,2,1,0,0,1,1,1
0,4444.861184,2,3,1,2,3,2,2,2,7,33,3,2,2,1,10,3,6,2,0,0,2,2,1
0,20298.17283,2,2,1,2,3,2,2,2,4,33,5,2,2,1,10,3,3,1,0,0,2,1,0
0,3601.370877,2,1,1,2,3,2,2,2,4,32,9,4,2,1,4,5,5,1,1,1,3,1,1
0,18611.85346,1,2,1,2,3,2,2,1,0,33,7,1,2,2,9,3,6,2,0,0,1,2,0
0,15132.04389,2,1,1,2,3,2,2,2,4,32,11,3,2,1,4,4,3,1,0,1,2,1,2
0,3173.881643,2,2,1,2,3,2,2,2,4,33,6,2,3,1,10,2,6,2,0,0,2,2,1
0,4855.406152,2,2,1,2,3,2,2,2,0,33,7,2,2,1,10,3,5,1,0,0,2,1,0
0,22295.83288,3,1,1,2,3,2,2,3,14,32,9,4,3,1,6,4,3,1,1,0,4,2,3
0,6186.42,2,2,1,2,3,2,2,2,0,32,11,2,2,1,10,4,5,1,0,0,2,1,0
0,10064.63953,1,3,3,2,3,2,2,1,2,33,5,1,1,2,1,2,2,1,0,0,1,1,1
0,13519.09774,2,1,1,2,3,2,2,2,0,33,5,3,2,1,4,1,6,2,0,1,2,2,2
0,8998.871156,2,1,1,2,3,2,2,2,10,33,7,2,1,1,2,1,1,1,0,0,2,1,2
0,68404.95684,2,3,3,2,3,2,2,2,4,33,6,2,2,1,2,1,1,1,0,0,2,1,2
0,65458.57681,2,3,3,2,3,2,2,2,2,32,4,5,2,1,4,4,5,1,1,2,3,1,1
0,8927.595886,4,3,2,2,3,2,2,1,0,33,5,4,2,1,2,3,2,1,0,0,4,1,0
0,7593.843278,2,1,1,1,3,2,2,2,8,31,11,2,3,1,2,5,4,1,0,0,2,1,1
0,2187.38832,1,3,3,1,3,2,2,1,5,31,4,1,1,2,1,5,4,1,0,0,1,1,1
0,24353.67361,1,3,1,1,3,2,2,1,0,31,1,4,0,1,3,5,4,1,2,1,3,1,0
0,6140.751988,2,3,1,1,3,2,2,2,9,31,10,2,2,1,2,5,4,1,0,0,2,1,1
0,11412.10858,2,3,3,1,3,2,2,1,2,31,6,3,0,1,4,5,4,1,1,0,3,1,1
0,52563.21643,1,3,3,1,3,2,2,1,0,31,1,1,1,2,1,5,4,1,0,0,1,1,0
0,4437.412015,1,3,3,1,3,2,2,1,2,31,9,1,0,2,1,5,4,1,0,0,1,1,1
0,17052.51735,3,2,1,2,3,2,2,3,4,32,10,3,4,1,2,5,6,2,0,0,3,2,2
0,3091.605338,2,2,1,2,3,2,2,2,4,33,5,2,2,1,10,1,1,1,0,0,2,1,1
0,10808.17015,2,3,1,2,3,2,2,2,0,33,5,2,2,1,10,1,1,1,0,0,2,1,0
0,19655.59849,2,2,1,1,3,2,1,2,0,31,6,2,2,1,10,5,4,1,0,0,2,1,0
0,10838.92158,2,1,1,2,3,2,2,2,2,32,11,2,1,2,2,4,5,1,0,0,2,1,0
0,31732.18172,2,3,3,1,3,2,2,2,7,31,8,2,1,1,2,5,4,1,0,0,2,1,2
0,14206.37094,2,1,1,1,3,2,2,3,6,31,6,3,4,1,8,5,4,1,1,0,3,1,2
0,10648.82088,4,1,1,2,3,2,2,3,2,32,6,4,2,1,2,4,5,1,0,0,4,1,1
0,10266.94066,2,2,1,2,3,2,2,2,4,33,6,2,1,1,10,3,2,1,0,0,2,1,0
0,15502.36261,1,1,3,1,3,2,2,1,2,31,8,1,1,2,1,5,4,1,0,0,1,1,1
0,14644.15703,2,1,1,1,3,2,2,2,2,31,6,8,2,1,4,5,6,2,5,1,7,2,1
0,57898.14183,2,1,1,1,3,2,2,1,2,31,6,2,3,1,2,5,4,1,0,0,2,1,1
0,21853.20275,2,3,3,2,3,2,2,2,2,33,5,3,2,1,6,2,2,1,1,0,3,1,2
0,14648.06299,2,1,1,2,3,2,2,2,2,34,7,2,2,1,10,6,6,2,0,0,2,2,1
0,8473.797583,3,1,1,2,3,2,2,2,0,33,7,3,2,1,10,1,6,2,0,0,3,2,0
0,2219.94212,2,2,1,2,3,2,2,2,0,33,6,2,2,1,10,1,6,2,0,0,2,2,0
